Abacavir (Ziagen®)
Dexmedetomidine (Precedex®)
Dexmethylphenidate (Focalin®)
Dextroamphetamine (Adderall®)
Dextromethorphan (Delsym®)
Diazepam (Diastat®)
Diclofenac (Voltaren®)
Didanosine (Videx®)
Digoxin (Digox®)
Diltiazem (Cardizem®)
Disulfiram (Antabuse®)
Divalproex sodium (Depakote®)
Dobutamine (Dobutrex®)
Docetaxel (Taxotere®)
Dolasetron (Anzemet®)
Dolutegravir (Tivicay®)
Doxepin (Deptran®)
Doxorubicin (Doxil®)
Dronedarone (Multaq®)
Duloxetine (Cymbalta®)
Dutasteride/Tamsulosin (Jalyn®)
Efavirenz (Atripla®)
Eletriptan (Relpax®)
Eltrombopag (Promacta®)
Enalapril (Bonuten®)
Entacapone (Comtan®)
Ephedrine (Bronkaid®)
Epirubicin (Ellence®)
Erlotinib (Tarceva®)
Erythromycin Ethylsuccinate/Sulfisoxazole Acetyl (Pediazole®)
Escitalopram (Lexapro®)
Esomeprazole (Nexium®)
Etanercept (Enbrel®)
Ethambutol (Etibi®)
Ethanol
Felodipine (Plendil®)
Fentanyl (Duragesic®)
Fexofenadine (Allegra®)
Flecainide (Tambocor®)
Fluconazole (Diflucan®)
Fludarabine (Fludara®)
Flunisolide (Aerospan®)
Fluorouracil (Carac®)
Fluoxetine (Prozac®)
Flurbiprofen (Ansaid®)
Fluticasone Propionate (Flunase®)
Fluticasone/Salmeterol (Advair®)
Fluvastatin (Lescol®)
Fluvoxamine (Luvox®)
Folic Acid
Fosphenytoin (Cerebyx®)
Furosemide (Lasix®)
Gefitinib (Iressa®)
Gemtuzumab Ozogamicin (Mylotarg®)
Gentamicin
Glimepiride (Amaryl®)
Glipizide (Glucotrol®)
Glyburide (Glynase®)
Granisetron (Sancuso®)
Haloperidol (Haldol®)
Hydralazine (Apresoline®)
Hydrochlorothiazide (Microzide®)
Ibuprofen (Advil®)
Iloperidone (Fanapt®)
Imatinib (Gleevec®)
Imipramine (Tofranil®)
Infliximab (Remicade®)
Irbesartan (Avapro®)
Irinotecan
Isoniazid (Hydra®)
Ivabradine (Corlentor®)
Ivacaftor (Kalydeco®)
Ivacaftor/Lumacaftor (Orkambi®)
Kanamycin
Ketamine (Ketalar®)
Lamivudine (Epivir®)
Lamotrigine (Lamictal®)
Lansoprazole (Prevacid®)
Ledipasvir (Harvoni®)
Ledipasvir/Sofosbuvir (Harvoni®)
Lercanidipine (Zanidip®)
Leucovorin (Wellcovorin®)
Levomilnacipran (Fetzima®)
Lidocaine (Lidoderm®)
Lidocaine/Prilocaine (Oraqix®)
Lisdexamfetamine (Vyvanse®)
Lisinopril (Prinivil®)
Lithium (Lithane®)
Lopinavir (Koletra®)
Lorazepam (Ativan®)
Losartan (Cozaar®)
Lovastatin (Mevacor®)
Mafenide (Sulfamylon®)
Maprotiline (Ludiomil®)
Medroxyprogesterone
Meloxicam (Mobic®)
Menantine (Ebixa®)
Meperidine (Demerol®)
Mercaptopurine (Purinethol®)
Metformin (Glucophage®)
Methadone (Methadose®)
Methamphetamine (Desoxyn®)
Methotrexate (Trexall®)
Methylene Blue
Methylphenidate (Ritalin®)
Methylprednisolone (Medrol®)
Metoprolol (Lopressor®)
Midazolam (Versed®)
Mivacurium (Mivacron®)
Montelukast (Singulair®)
Morphine (Duramorph®)
Mycophenolate Mofetil (CellCept®)
Mycophenolic acid (Myfortic®)
Nalidixic Acid (Neggram®)
Naloxone (Evzio®)
Naltrexone (Revia®)
Naproxen
Naproxen (Aleve®)
Nedocromil (Alocril®)
Nelfinavir (Viracept®)
Neomycin
Nevirapine (Viramune®)
Nicotine (Nicorette®)
Nifedipine (Adalat®)
Nilotinib (Tasigna®)
Nisoldipine (Sular®)
Nitrendipine (Nitrepin®)
Nitrofurantoin (Furadantin®)
Nitroprusside (Nipride®)
Norelgestromin/Ethinyl Estradiol (Evra®)
Nortriptyline (Pamelor®)
Olanzapine (Zalasta®)
Omeprazole (Prilosec®)
Ondansetron (Zofran®)
Oral-Contraceptives
Oxaliplatin (Eloxatin®)
Oxazepam (Serax®)
Oxcarbazepine (Trileptal®)
Oxycodone (Oxycontin®)
Paclitaxel (Abraxane®)
Paliperidone (Invega®)
Pantoprazole (Protonix®)
Paromomycin
Paroxetine (Paxil®)
Pazopanib (Votrient®)
Peginterferon alfa-2a (Pegasys®)
Peginterferon alfa-2b (PegIntron®)
Pegloticase (Krystexxa®)
Pemetrexed (Alimta®)
Pentazocine (Fortalin®)
Perindopril (Aceon®)
Perphenazine (Trilafon®)
Phenobarbital (Levsin®)
Phenprocoumon (Marcoumar®)
Phenylephrine (Adrianol®)
Phenytoin (Dilantin®)
Pimozide (Orap®)
Pioglitazone (Actos®)
Pitavastatin (Livalo®)
Posaconazole (Noxafil®)
Pravastatin (Pravachol®)
Prednisolone (Omnipred®)
Prednisone (Deltasone®)
Primaquine
Primaquine Phosphate (Primaquine®)
Probenecid (Probalan®)
Propafenone (Rythmol®)
Propofol (Diprivan®)
Propranolol (Angilol®)
Protriptyline (Vivactil®)
Pyrazinamide (Rifater®)
Quetiapine (Seroquel®)
Quinapril (Accupril®)
Quinine (Qualaquin®)
Rabeprazole (Aciphex®)
Ranolazine (Ranexa®)
Rasburicase (Elitek®)
Reboxetine (Edronax®)
Ribavirin (Copegus®)
Rifampin (Rifadin®)
Risperidone (Risperdal®)
Ritonavir (Norvir®)
Rivaroxaban (Xarelto®)
Rocuronium (Esmeron®)
Rofecoxib (Vioxx®)
Ropivacaine (Naropin®)
Rosiglitazone (Avandia®)
Rosuvastatin (Crestor®)
Ruxolitinib (Jakavi®)
Salmeterol (Asmol®)
Sertraline (Zoloft®)
Silodosin (Rapaflo®)
Simvastatin (Zocor®)
Sirolimus (Rapamune®)
Sofosbuvir (Sovaldi®)
Somatropin Recombinant (Zomacton®)
Spironolactone (Aldactone®)
Streptomycin
Succinylcholine Chloride (Anectine®)
Sufentanil (Sufenta®)
Sulfadiazine (Silvadene®)
Sulfamethoxazole/Trimethoprim (Bactrim®)
Sulfasalazine (Azulfidine®)
Sunitinib (Sutent®)
Tacrolimus (Protopic®)
Tamoxifen (Soltamox®)
Tamsulosin (Flomax®)
Telaprevir (Incivo®)
Tenofovir (Viread®)
Tetrabenazine (Xenazine®)
Thalidomide (Thalomid®)
Thioguanine (Tabloid®)
Thioridazine (Mellaril®)
Thiotepa (Tepadina®)
Ticagrelor (Brilinta®)
Tiotropium (Spiriva®)
Tizanidine (Zanaflex®)
Tobramycin
Tolbutamide (Orinase®)
Tolterodine (Detrol®)
Topiramate (Topamax®)
Torasemide (Demadex®)
Tramadol (Ultram®)
Tramadol hydrochloride/Acetaminophen (Ultracet®)
Trazodone
Triamcinolone (Adcortyl®)
Trifluoperazine (Stelazine®)
Trimipramine (Surmontil®)
Valproic acid (Depakote®)
Venlafaxine (Effexor®)
Verapamil (Calan®)
Vilazodone (Viibryd®)
Vincristine (Marqibo®)
Voriconazole (Vfend®)
Vortioxetine (Trintellix®)
Warfarin (Coumadin®)
Zidovudine (Retrovir®)
Zolmitriptan (Zomig®)
Zonisamide (Zonegran®)
